egoid,phonework1,fbgame2,fbgame4g2,_mergeQ2,prevphone3,facebook3,_mergeQ3,fallbreak4,uscgame4,_mergeQ4,overwhelmed5,cheerful5,calm5,active5,fresh5,interest5,overall5,_mergeQ5,health6,exercise6,sleep6,sleepqual6,weight6,_mergeQ6,polviews7,gaymarry7,govserv7,eqlchance7,dispol7,distv7,dissport7,disart7,_mergeQ7,tvmovie8,attsport8,wtchsport8,liveart8,alcohol8,videogame8,_mergeQ8,overwhelmed9,cheerful9,calm9,active9,fresh9,interest9,overall9,_mergeQ9,health10,exercise10,sleep10,sleepqual10,weight10,angry10,embarrassed10,_mergeQ10,polviews11,gaymarry11,govserv11,eqlchance11,dispol11,distv11,dissport11,disart11,_mergeQ11,tvmovie12,attsport12,wtchsport12,liveart12,alcohol12,videogame12,_mergeQ12,overwhelmed13,cheerful13,calm13,active13,fresh13,interest13,overall13,_mergeQ13,health14,exercise14,sleep14,sleepqual14,weight14,angry14,embarrassed14,_mergeQ14,polviews15,gaymarry15,govserv15,eqlchance15,dispol15,distv15,dissport15,disart15,_mergeQ15,tvmovie16,attsport16,wtchsport16,liveart16,alcohol16,videogame16,_mergeQ16,overwhelmed17,cheerful17,calm17,active17,fresh17,interest17,overall17,_mergeQ17,health18,exercise18,sleep18,sleepqual18,weight18,angry18,embarrassed18,_mergeQ18,polviews19,gaymarry19,govserv19,eqlchance19,dispol19,distv19,dissport19,disart19,_mergeQ19,overwhelmed38,cheerful38,calm38,active38,fresh38,interest38,overall38,_mergeQ38,health39,exercise39,sleep39,sleepqual39,weight39,angry39,embarrassed39,_mergeQ39
18394,1,NA,NA,1,1,0,3,2,1,3,4,4,3,4,2,5,2,3,2,2,3,4,3,3,5,3,3,1,1,2,2,1,3,2,1,2,1,2,2,3,3,5,3,5,2,5,2,3,2,2,3,4,3,2,2,3,5,3,3,2,1,2,2,1,3,2,1,1,1,1,2,3,3,4,3,2,2,5,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3,3,4,3,3,3,5,1,3,2,2,6,3,3,2,2,3,5,3,3,2,1,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
71700,2,1,1,3,1,0,3,2,1,3,2,4,3,3,5,3,3,3,2,3,4,4,1,3,3,4,3,2,2,2,2,1,3,2,2,1,1,1,1,3,3,2,2,3,3,2,3,3,2,3,5,4,2,2,2,3,3,4,3,2,2,4,2,4,3,4,2,2,2,1,1,3,5,4,2,3,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,1,3,4,2,2,4,3,2,3,3,2,4,4,4,3,2,2,3,3,4,3,2,1,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
48429,2,1,1,3,1,0,3,1,1,3,2,5,3,3,3,4,2,3,2,2,4,3,3,3,1,1,4,2,4,2,3,2,3,2,1,2,1,2,1,3,2,4,3,4,3,4,2,3,4,1,3,4,2,2,1,3,1,1,4,2,3,3,3,3,3,2,3,2,2,4,3,3,4,3,5,3,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,3,2,4,3,3,3,3,2,3,2,2,6,4,3,1,1,3,1,1,4,2,4,3,3,3,3,4,2,2,3,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,1
19066,2,1,1,3,2,0,3,2,1,3,1,4,4,3,1,5,2,3,3,3,3,4,2,3,4,2,3,3,2,2,3,2,3,3,2,2,1,1,1,3,3,4,2,3,1,3,2,3,3,2,3,4,2,2,1,3,4,2,3,3,2,2,3,1,3,3,1,2,1,1,1,3,3,5,2,3,2,5,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,1,3,3,5,2,3,2,3,1,3,3,3,4,4,2,2,2,3,4,3,3,3,2,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,4,3,3,2,3
36951,NA,1,1,2,1,0,3,2,1,3,3,3,2,4,2,5,1,3,2,4,4,3,3,3,4,2,1,3,2,3,5,1,3,2,2,3,1,3,2,3,1,5,4,4,3,5,1,3,1,4,5,3,3,2,1,3,4,2,1,3,3,3,3,1,3,2,1,2,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,1,3,3,3,3,3,2,2,4,3,1,3,1,3,5,4,4,1,1,3,4,2,1,4,3,3,4,1,3,3,5,2,3,3,4,1,3,2,2,2,4,3,2,2,3
75468,1,1,0,3,1,0,3,2,1,3,1,5,4,5,3,3,2,3,1,3,4,4,3,3,2,2,3,1,2,5,5,1,3,2,2,2,1,2,3,3,5,1,2,3,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,1,2,2,5,1,3,2,1,2,1,2,1,3,2,3,3,3,3,3,2,3,2,2,6,4,3,1,1,3,2,1,3,1,2,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
46021,1,1,1,3,3,0,3,2,1,3,2,4,2,4,3,3,2,3,2,4,4,3,3,3,3,1,2,3,2,2,2,1,3,2,2,2,1,1,1,3,4,4,2,3,3,3,2,3,2,3,4,4,3,2,1,3,3,1,2,3,2,3,3,1,3,2,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,2,3,1,3,3,3,2,3,2,3,1,4,4,4,3,2,2,3,3,1,2,3,2,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
50709,1,1,0,3,1,0,3,2,1,3,3,5,3,2,1,3,2,3,2,2,3,4,3,3,3,1,3,3,2,2,4,2,3,2,1,2,1,1,2,3,3,4,3,4,1,3,2,3,1,3,3,5,3,2,3,3,3,1,3,3,1,3,2,1,3,2,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3,3,2,2,2,2,3,3,3,2,2,4,4,3,2,2,3,3,1,3,3,1,4,3,1,3,4,3,3,3,2,3,3,3,1,3,4,4,3,3,2,3
45945,2,1,1,3,NA,NA,1,2,1,3,1,3,2,2,2,4,2,3,2,4,4,4,3,3,5,2,2,4,3,5,5,1,3,5,2,3,1,2,2,3,1,4,3,3,2,5,2,3,1,3,4,4,3,1,1,3,4,1,2,4,2,3,3,2,3,5,1,2,1,1,1,3,2,4,4,3,2,5,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,1,1,3,3,3,2,2,1,2,2,3,3,2,2,5,4,3,1,2,3,4,1,2,4,3,3,2,1,3,1,3,3,3,3,4,2,3,3,2,5,3,2,1,2,3
80193,NA,NA,NA,NA,1,0,2,2,1,3,1,5,2,4,3,4,1,3,2,5,3,4,2,3,5,3,2,3,2,1,2,2,3,1,1,1,1,1,1,3,2,5,4,5,3,5,1,3,2,4,4,3,2,2,2,3,5,3,1,3,3,3,2,2,3,1,1,1,1,1,1,3,2,5,3,5,3,5,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3,5,5,5,5,3,5,1,3,2,4,4,5,2,2,5,3,5,3,1,3,5,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
28831,1,1,1,3,1,0,3,1,1,3,3,3,2,4,2,5,3,3,2,4,4,4,2,3,5,4,1,4,2,2,4,1,3,2,2,4,1,2,1,3,2,3,2,3,2,4,2,3,1,4,3,4,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,4,2,2,4,1,3,2,2,4,1,2,2,3,2,3,2,3,2,4,2,3,1,4,2,5,1,2,1,3,5,4,1,4,2,2,4,1,3,1,4,4,3,2,3,2,3,1,3,3,3,3,2,1,3
96600,2,1,1,3,NA,NA,1,2,1,3,3,2,3,3,3,3,4,3,2,4,4,4,3,3,2,2,3,3,1,2,3,2,3,3,2,2,1,1,1,3,2,4,3,4,2,3,3,3,2,3,3,4,2,2,2,3,3,2,3,2,1,3,2,2,3,3,2,1,2,2,1,3,3,3,2,3,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,3,1,3,3,2,3,3,1,3,1,2,4,5,2,3,2,3,5,4,4,4,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
64772,1,1,1,3,1,0,3,2,1,3,3,3,2,2,1,2,4,3,3,1,3,4,2,3,3,3,2,3,1,2,2,1,3,2,1,1,1,2,1,3,4,2,1,1,1,2,3,3,2,1,4,4,2,3,2,3,3,3,3,4,1,2,1,1,3,2,1,1,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,3,2,4,2,3,2,3,2,3,3,3,5,4,2,1,1,3,3,3,2,3,1,1,1,1,3,3,5,4,1,1,5,2,3,1,2,1,4,2,2,2,3
48990,2,1,1,3,1,0,3,2,1,3,5,2,1,5,1,5,4,3,1,2,3,4,3,3,5,3,3,4,1,1,2,2,3,2,1,2,1,1,1,3,5,2,1,1,1,5,4,3,2,2,4,4,3,2,2,3,5,3,3,4,1,2,2,2,3,4,1,2,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,1,1,1,3,4,2,2,2,1,5,3,3,1,1,6,3,3,1,1,3,5,3,3,4,1,2,2,1,3,5,3,2,1,1,5,3,3,3,2,4,4,3,3,2,3
61280,NA,NA,NA,NA,5,0,2,3,1,3,3,3,4,4,1,4,3,3,2,3,4,4,3,3,3,4,2,2,2,2,5,1,3,2,1,5,1,1,3,3,2,5,4,3,3,5,1,3,3,2,3,4,3,5,2,3,3,3,3,1,1,3,5,1,3,2,1,5,1,1,2,3,2,5,4,3,3,5,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,5,1,1,2,3,2,3,5,3,2,5,2,3,2,2,6,3,2,1,1,3,3,3,2,1,1,2,5,1,3,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,4,2,2,2,3
22540,NA,NA,NA,NA,5,0,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,4,2,3,5,1,1,3,3,5,5,2,3,3,2,4,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
39122,2,1,0,3,1,0,3,2,1,3,3,2,2,2,1,3,3,3,3,2,3,4,2,3,3,2,2,2,4,4,3,5,3,3,1,1,2,1,1,3,3,3,2,2,2,3,3,3,2,2,4,4,2,3,3,3,3,2,2,2,3,3,2,5,3,3,1,1,3,1,2,3,5,3,2,2,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,3,1,2,3,3,3,2,2,2,3,2,3,2,2,5,3,2,3,2,3,3,2,2,2,3,4,2,5,3,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,3,2,2,3,3
89827,2,1,1,3,1,0,3,1,1,3,2,3,3,2,4,4,3,3,2,2,4,4,3,3,2,2,2,3,3,2,2,2,3,3,2,1,1,2,3,3,3,3,2,2,2,2,3,3,2,1,4,4,3,3,3,3,2,2,2,3,3,2,3,2,3,2,1,1,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,1,3,5,1,1,1,2,1,4,3,2,1,6,2,3,2,2,3,2,2,2,3,2,2,2,1,3,3,3,2,2,2,2,3,3,2,2,3,4,3,3,3,3
86610,2,1,1,3,1,0,3,4,1,3,2,4,4,5,3,5,2,3,1,4,5,3,2,3,4,2,2,3,3,4,5,2,3,2,2,4,1,1,1,3,1,4,4,4,4,5,1,3,2,3,5,3,2,2,3,3,3,2,2,3,2,3,5,1,3,3,2,4,1,1,1,3,1,5,5,3,4,5,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,1,1,1,3,1,5,3,3,4,5,2,3,2,3,5,4,2,1,1,3,3,2,2,3,3,3,5,2,3,3,4,4,5,3,5,2,3,NA,NA,NA,NA,NA,NA,NA,1
57637,NA,1,1,2,2,0,3,2,1,3,3,3,3,2,2,5,2,3,2,2,4,4,2,3,3,2,2,3,1,2,3,1,3,2,2,2,1,2,4,3,3,4,3,2,2,5,2,3,2,2,3,4,2,2,2,3,3,2,2,3,2,1,3,1,3,2,2,1,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,4,3,1,3,3,1,2,5,1,3,2,1,4,5,2,1,1,3,3,2,2,3,2,1,2,1,3,5,3,3,2,2,5,4,3,2,3,4,4,3,2,1,3
10353,NA,0,0,2,1,0,3,1,1,3,4,2,2,4,2,2,4,3,2,4,4,4,3,3,4,2,2,3,2,2,4,2,3,2,1,2,1,1,1,3,2,3,2,3,2,2,3,3,2,3,4,3,3,1,2,3,4,2,1,3,2,2,3,1,3,2,1,2,1,1,2,3,2,3,3,3,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,2,3,2,2,3,3,4,3,2,3,1,3,5,4,2,1,1,3,4,2,1,3,3,2,4,1,3,2,3,3,4,5,3,2,3,2,4,4,3,3,1,1,3
46160,NA,NA,NA,NA,2,0,2,2,1,3,3,4,4,2,2,4,1,3,2,3,3,4,4,3,4,1,2,3,2,4,3,3,3,2,1,2,1,2,1,3,3,4,4,3,2,3,1,3,2,3,3,4,3,3,3,3,4,1,2,3,3,3,2,3,3,3,1,2,2,1,2,3,4,4,3,3,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,1,3,4,4,3,2,2,4,1,3,1,2,6,4,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,4,4,3,3,1,3,2,3,2,4,4,2,2,3
45000,2,1,1,3,1,0,3,1,1,3,2,5,3,3,3,4,1,3,1,3,4,4,3,3,4,3,2,3,1,4,5,2,3,4,2,2,1,1,1,3,3,5,4,4,3,4,1,3,1,3,3,4,3,1,1,3,5,3,2,3,2,4,2,2,3,4,1,1,1,1,1,3,4,4,3,2,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,1,1,1,3,3,4,4,1,3,3,1,3,1,3,6,3,3,2,2,3,4,3,1,2,2,4,2,1,3,4,5,3,3,3,5,1,3,NA,NA,NA,NA,NA,NA,NA,1
88133,1,1,1,3,2,0,3,1,1,3,1,4,3,3,2,4,2,3,1,2,2,5,3,3,2,1,3,2,1,2,1,3,3,NA,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,3,2,2,3,4,3,2,2,3,2,1,3,2,2,1,1,2,3,2,2,1,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,2,3,1,4,3,3,2,3,2,3,1,1,5,5,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,3,3,2,3,2,3,2,2,3,4,3,1,2,3
75261,2,1,1,3,1,0,3,2,1,3,5,3,3,3,3,2,3,3,2,2,4,4,3,3,3,1,3,1,2,3,2,2,3,5,2,2,1,2,1,3,3,3,2,2,2,3,3,3,1,2,4,4,3,2,2,3,3,1,2,1,2,3,3,1,3,5,2,2,1,3,1,3,4,3,2,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,2,1,2,3,3,2,2,2,2,1,3,3,4,2,3,5,3,1,2,3,3,1,2,1,3,5,2,2,3,3,3,2,4,3,3,3,3,1,3,3,4,3,2,2,3
78966,2,1,1,3,1,0,3,2,1,3,2,4,2,3,2,4,3,3,1,3,4,4,3,3,5,2,2,3,1,3,5,2,3,2,2,4,1,1,2,3,2,4,2,4,3,3,2,3,2,4,3,3,3,2,2,3,5,2,1,3,1,3,5,2,3,2,2,4,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,2,1,3,3,2,3,3,2,4,3,2,3,2,3,6,4,2,2,3,3,5,2,1,3,2,3,5,2,3,3,4,2,3,3,3,2,3,2,3,4,4,2,1,1,3
55464,2,1,1,3,1,0,3,2,1,3,3,3,3,3,2,2,4,3,3,4,3,5,2,3,2,1,2,1,2,2,3,2,3,2,1,2,2,2,3,3,3,3,2,3,1,3,3,3,2,4,3,4,2,2,2,3,2,1,3,1,2,3,3,1,3,3,2,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,3,1,2,3,3,2,4,4,4,3,3,2,3,1,5,5,4,1,3,2,3,2,1,3,1,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,4,3,2,2,3
86352,2,0,1,3,1,0,3,1,1,3,1,5,5,5,5,5,1,3,1,1,2,4,3,3,3,2,4,3,2,2,2,1,3,2,1,1,1,1,1,3,1,5,5,5,5,5,1,3,1,2,4,3,3,1,1,3,3,2,3,3,1,1,1,1,3,1,1,1,1,1,1,3,1,5,5,5,5,5,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3,1,5,5,5,5,5,1,3,1,2,6,4,3,1,1,3,3,2,3,3,2,2,1,1,3,1,5,5,5,5,5,1,3,1,2,2,4,4,1,1,3
22745,1,1,1,3,2,0,3,1,1,3,2,4,3,3,2,5,2,3,1,1,5,4,3,3,2,1,3,2,3,5,5,1,3,NA,NA,NA,NA,NA,NA,1,3,4,3,2,3,4,1,3,2,1,3,4,3,2,1,3,2,1,2,2,1,5,3,1,3,5,1,2,1,1,1,3,5,1,1,1,2,2,3,3,2,1,4,4,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,3,5,4,3,2,1,3
78638,2,1,1,3,1,0,3,2,1,3,3,3,2,4,1,4,4,3,2,4,3,4,3,3,4,3,2,3,3,5,4,3,3,2,2,1,2,2,1,3,4,2,2,3,2,3,4,3,2,2,4,3,2,3,2,3,4,3,2,3,2,3,3,2,3,2,2,3,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3,4,3,2,2,2,3,4,3,2,3,6,4,3,2,2,3,4,3,2,3,2,4,3,2,3,3,4,3,3,3,3,2,3,2,3,4,4,2,2,2,3
34853,2,1,1,3,1,0,3,1,1,3,3,3,2,2,1,2,2,3,2,2,2,5,2,3,3,1,1,3,2,1,4,1,3,2,2,3,1,2,1,3,2,4,4,3,3,4,1,3,2,2,3,4,2,1,2,3,3,1,1,4,2,2,4,1,3,2,2,3,1,3,1,3,2,4,4,3,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,3,3,2,2,2,2,2,3,3,2,1,2,5,2,2,1,3,3,1,1,3,2,2,4,1,3,2,3,3,3,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,1
50869,1,1,1,3,2,0,3,4,1,3,2,2,2,1,1,2,3,3,4,4,4,4,2,3,5,4,2,3,2,1,3,1,3,2,1,2,1,1,1,3,4,2,2,2,2,4,3,3,2,4,4,3,2,1,1,3,4,4,2,3,2,1,4,1,3,3,1,2,1,1,1,3,2,2,2,2,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3,1,2,4,4,4,3,3,3,2,4,6,3,3,1,2,3,4,3,2,3,3,2,2,2,3,2,2,2,1,1,4,3,3,2,1,3,4,2,2,1,3
46654,1,1,1,3,1,0,3,2,1,3,2,4,3,3,2,4,2,3,2,2,4,4,2,3,3,1,3,2,2,3,2,4,3,2,1,2,2,1,1,3,2,4,3,2,2,5,2,3,2,2,4,4,3,4,2,3,2,1,3,1,3,2,2,2,3,2,1,2,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,3,2,4,3,2,3,5,2,3,2,1,5,4,3,2,2,3,2,1,3,1,2,2,2,2,3,3,4,4,2,2,5,3,3,2,2,4,4,3,3,2,3
73303,1,1,1,3,2,0,3,1,1,3,2,5,4,4,2,5,1,3,2,3,2,4,3,3,3,2,2,3,2,2,4,3,3,2,2,2,2,1,1,3,3,5,2,3,2,5,1,3,2,3,2,4,3,1,1,3,3,2,2,3,2,2,3,2,3,3,2,3,2,1,1,3,3,5,4,4,3,5,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,3,2,5,4,4,3,5,1,3,2,2,4,4,3,1,1,3,3,2,2,3,2,2,3,2,3,3,5,2,3,2,5,1,3,2,2,2,5,3,1,1,3
74916,3,1,1,3,2,1,3,2,1,3,4,2,1,2,1,3,4,3,2,3,2,5,2,3,5,2,2,3,2,2,2,2,3,2,2,1,2,2,1,3,3,4,3,3,2,4,3,3,2,3,3,3,3,2,2,3,5,2,1,3,2,3,2,2,3,2,2,2,1,2,1,3,3,4,3,4,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,1,3,4,3,2,2,2,3,3,3,2,3,5,4,3,2,1,3,4,2,1,3,3,2,2,2,3,4,4,2,2,2,3,2,3,4,2,2,4,3,2,3,3
50947,1,1,0,3,1,0,3,2,1,3,4,4,3,3,3,4,2,3,2,3,2,4,3,3,5,2,1,3,2,2,2,1,3,2,3,1,1,2,1,3,3,3,2,3,2,2,3,3,1,3,4,4,3,2,3,3,4,2,1,3,2,2,2,1,3,3,2,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,2,2,2,3,2,2,1,3,3,2,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,2,3,2,3,2,3,3,2,3,3,2,4,2,3
52385,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,3,3,3,4,2,1,3,3,2,5,3,3,5,2,4,1,3,2,3,3,3,2,3,2,4,3,3,3,2,5,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,4,3,3,3,3,2,3,2,3,5,5,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
24760,2,1,1,3,2,0,3,3,1,3,4,4,3,3,2,5,1,3,1,3,4,4,2,3,3,4,2,2,2,2,5,2,3,2,2,3,2,1,5,3,4,4,4,5,3,4,1,3,1,4,4,4,4,2,2,3,3,4,2,1,2,2,4,2,3,2,2,3,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,4,3,4,3,2,2,3,4,1,3,1,4,5,3,2,4,1,3,3,3,3,1,3,3,5,2,3,5,5,3,5,4,5,1,3,1,3,3,4,2,2,5,3
40877,1,1,0,3,NA,NA,1,2,1,3,1,4,5,4,2,4,3,3,1,4,3,3,4,3,5,1,1,3,2,2,2,3,3,2,2,2,3,3,2,3,2,3,4,3,4,3,2,3,1,2,3,3,2,3,3,3,5,1,1,1,2,2,1,3,3,2,2,2,2,5,4,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,3,3,3,3,3,3,1,2,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
38893,3,1,1,3,1,0,3,2,1,3,5,2,1,2,4,2,4,3,2,2,4,4,3,3,4,2,2,3,1,1,2,2,3,NA,NA,NA,NA,NA,NA,1,4,2,1,2,2,1,4,3,2,2,4,3,3,1,2,3,4,2,2,3,1,1,1,1,3,3,1,1,2,1,1,3,4,2,1,2,3,2,5,3,NA,NA,NA,NA,NA,NA,NA,1,4,3,2,3,1,1,1,1,3,2,2,1,2,1,1,3,4,2,1,2,2,2,4,3,3,2,4,4,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,2,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,1
